case_id,alg_01,alg_02,alg_03,alg_04,alg_05
case_1,0.7555,0.7198,0.7642,0.7427,0.7364
case_2,0.8229,0.8051,0.8303,0.8027,0.8411
case_3,0.8078,0.7958,0.8341,0.792,0.814
case_4,0.823,0.8061,0.8377,0.8105,0.8106
case_5,0.8148,0.8004,0.7961,0.779,0.7944
case_6,0.733,0.7396,0.7411,0.7415,0.71
case_7,0.7194,0.72,0.7704,0.751,0.762
case_8,0.7821,0.7782,0.8206,0.8017,0.8286
case_9,0.6874,0.7328,0.7101,0.7454,0.7456
case_10,0.8014,0.8081,0.8355,0.7959,0.8158
case_11,0.9116,0.894,0.9241,0.9106,0.889
case_12,0.7516,0.7737,0.7436,0.7579,0.7853
case_13,0.8168,0.8534,0.8337,0.8392,0.8346
case_14,0.7731,0.7886,0.7735,0.8063,0.8131
case_15,0.8139,0.8058,0.822,0.8497,0.8051
case_16,0.8035,0.841,0.8187,0.8065,0.7877
case_17,0.7976,0.833,0.8155,0.8494,0.7931
case_18,0.8126,0.7705,0.8284,0.7926,0.7915
case_19,0.7494,0.8033,0.802,0.7442,0.7829
case_20,0.8254,0.8815,0.8877,0.8475,0.8806
case_21,0.8009,0.7747,0.827,0.7747,0.7949
case_22,0.773,0.762,0.7633,0.7528,0.7773
case_23,0.8332,0.8407,0.8795,0.8568,0.8105
case_24,0.8279,0.8229,0.822,0.8124,0.8206
case_25,0.7724,0.8009,0.8101,0.7916,0.7907
case_26,0.7179,0.7132,0.7169,0.7083,0.7407
case_27,0.761,0.758,0.7785,0.7922,0.7701
case_28,0.8341,0.8315,0.8406,0.8089,0.8317
case_29,0.8694,0.8731,0.8704,0.8649,0.8771
case_30,0.7506,0.7669,0.7383,0.7574,0.7667
case_31,0.7573,0.7764,0.7979,0.7672,0.7793
case_32,0.8435,0.825,0.8322,0.8429,0.8177
case_33,0.8405,0.884,0.8965,0.8546,0.8897
case_34,0.7184,0.7445,0.7646,0.7067,0.7703
case_35,0.7489,0.7524,0.768,0.7424,0.7556
case_36,0.7066,0.7696,0.7175,0.7079,0.7245
case_37,0.8136,0.794,0.8388,0.7896,0.8362
case_38,0.7825,0.7562,0.7631,0.7667,0.7541
case_39,0.7691,0.8047,0.8233,0.7817,0.8017
case_40,0.7848,0.8139,0.823,0.8218,0.8037
case_41,0.7837,0.784,0.7991,0.7753,0.7556
case_42,0.8482,0.8908,0.8413,0.8554,0.8762
case_43,0.7514,0.7665,0.7753,0.7328,0.7705
case_44,0.7097,0.6756,0.6951,0.6949,0.6475
case_45,0.8774,0.8687,0.8828,0.863,0.8728
case_46,0.8643,0.8468,0.8834,0.863,0.8571
case_47,0.7845,0.7778,0.8298,0.7715,0.7803
case_48,0.7889,0.7663,0.7747,0.7451,0.7871
case_49,0.7509,0.7529,0.801,0.7947,0.7759
case_50,0.8325,0.8055,0.8066,0.8369,0.8424
