algorithm,case,dsc
A1,img_001,0.9972
A1,img_002,0.9871
A1,img_003,1.0
A1,img_004,0.6506
A1,img_005,0.6175
A1,img_006,0.9931
A1,img_007,0.6308
A1,img_008,0.5987
A1,img_009,0.6116
A1,img_010,1.0
A1,img_011,0.9839
A1,img_012,0.9785
A1,img_013,0.9903
A1,img_014,1.0
A1,img_015,0.5985
A1,img_016,0.5951
A1,img_017,0.9852
A1,img_018,0.9694
A1,img_019,0.6276
A1,img_020,0.6172
A1,img_021,0.9895
A1,img_022,0.637
A1,img_023,0.6105
A1,img_024,0.6386
A1,img_025,0.9993
A1,img_026,0.9969
A1,img_027,0.6356
A1,img_028,0.9873
A1,img_029,1.0
A1,img_030,0.9982
A1,img_031,0.6358
A1,img_032,0.9886
A1,img_033,0.6255
A1,img_034,1.0
A1,img_035,0.6093
A1,img_036,1.0
A1,img_037,0.9928
A1,img_038,0.604
A1,img_039,0.9786
A1,img_040,0.612
A1,img_041,0.9803
A1,img_042,0.6314
A1,img_043,1.0
A1,img_044,0.5997
A1,img_045,0.9851
A1,img_046,0.9936
A1,img_047,0.6347
A1,img_048,0.9979
A1,img_049,0.9749
A1,img_050,1.0
A1,img_051,0.5881
A1,img_052,0.6154
A1,img_053,0.5869
A1,img_054,0.9953
A1,img_055,0.6312
A1,img_056,0.9827
A1,img_057,0.6258
A1,img_058,0.63
A1,img_059,0.9808
A1,img_060,0.6094
A1,img_061,0.6217
A1,img_062,1.0
A1,img_063,1.0
A1,img_064,0.6442
A1,img_065,0.6354
A1,img_066,0.9826
A1,img_067,0.9949
A1,img_068,1.0
A1,img_069,0.6112
A1,img_070,0.6034
A1,img_071,0.5838
A1,img_072,0.6111
A1,img_073,0.9803
A1,img_074,0.641
A1,img_075,0.5712
A1,img_076,0.6115
A1,img_077,0.5901
A1,img_078,0.9988
A1,img_079,0.9931
A1,img_080,0.6084
A1,img_081,0.6229
A1,img_082,0.5778
A1,img_083,0.5962
A1,img_084,0.624
A1,img_085,0.6123
A1,img_086,0.9797
A1,img_087,0.9817
A1,img_088,0.6482
A1,img_089,0.6333
A1,img_090,1.0
A1,img_091,0.6388
A1,img_092,0.9776
A1,img_093,0.6072
A1,img_094,0.6236
A1,img_095,0.9774
A1,img_096,0.5984
A1,img_097,0.597
A1,img_098,0.9945
A1,img_099,0.5874
A1,img_100,0.6105
A1,img_101,0.594
A1,img_102,0.6336
A1,img_103,0.599
A1,img_104,0.9892
A1,img_105,0.9976
A1,img_106,0.6363
A1,img_107,0.9828
A1,img_108,0.9879
A1,img_109,0.6272
A1,img_110,0.6574
A1,img_111,0.9831
A1,img_112,0.6203
A1,img_113,0.9944
A1,img_114,0.6082
A1,img_115,0.618
A1,img_116,0.6418
A1,img_117,1.0
A1,img_118,0.9842
A1,img_119,0.9996
A1,img_120,0.9903
A1,img_121,0.5768
A1,img_122,0.9843
A1,img_123,0.9972
A1,img_124,0.6303
A1,img_125,0.6482
A1,img_126,0.99
A1,img_127,0.6525
A1,img_128,0.9921
A1,img_129,1.0
A1,img_130,0.9904
A1,img_131,0.6378
A1,img_132,0.6161
A1,img_133,1.0
A1,img_134,0.6035
A1,img_135,1.0
A1,img_136,1.0
A1,img_137,0.9984
A1,img_138,0.9959
A1,img_139,0.6196
A1,img_140,0.6232
A1,img_141,0.9923
A1,img_142,0.5994
A1,img_143,0.6322
A1,img_144,0.6217
