task,alg_name,value,case
c_ideal,A1,0.938861,1
c_ideal,A1,0.974592885,2
c_ideal,A1,0.989542098,3
c_ideal,A1,0.980907675,4
c_ideal,A1,0.981854633,5
c_ideal,A1,0.942119997,6
c_ideal,A1,0.91766965,7
c_ideal,A1,0.917378656,8
c_ideal,A1,0.989254574,9
c_ideal,A1,0.974333406,10
c_ideal,A1,0.956098388,11
c_ideal,A1,0.907123383,12
c_ideal,A1,0.985358475,13
c_ideal,A1,0.991371096,14
c_ideal,A1,0.92253612,15
c_ideal,A1,0.962856013,16
c_ideal,A1,0.906914499,17
c_ideal,A1,0.951485398,18
c_ideal,A1,0.980541729,19
c_ideal,A1,0.997178947,20
c_ideal,A1,0.934291524,21
c_ideal,A1,0.963136344,22
c_ideal,A1,0.941005426,23
c_ideal,A1,0.934569406,24
c_ideal,A1,0.982487285,25
c_ideal,A1,0.968990053,26
c_ideal,A1,0.932064501,27
c_ideal,A1,0.944132966,28
c_ideal,A1,0.926188545,29
c_ideal,A1,0.913320447,30
c_ideal,A1,0.991047869,31
c_ideal,A1,0.970916793,32
c_ideal,A1,0.957202631,33
c_ideal,A1,0.991696824,34
c_ideal,A1,0.990191012,35
c_ideal,A1,0.905862199,36
c_ideal,A1,0.904570095,37
c_ideal,A1,0.998880851,38
c_ideal,A1,0.920582496,39
c_ideal,A1,0.992905597,40
c_ideal,A1,0.919430355,41
c_ideal,A1,0.912680094,42
c_ideal,A1,0.953936881,43
c_ideal,A1,0.927233706,44
c_ideal,A1,0.935358665,45
c_ideal,A1,0.908410486,46
c_ideal,A1,0.976543771,47
c_ideal,A1,0.944448599,48
c_ideal,A1,0.903613749,49
c_ideal,A1,0.970128914,50
c_ideal,A2,0.822808462,1
c_ideal,A2,0.856666812,2
c_ideal,A2,0.823976325,3
c_ideal,A2,0.847920131,4
c_ideal,A2,0.842143832,5
c_ideal,A2,0.851695721,6
c_ideal,A2,0.860160095,7
c_ideal,A2,0.819090231,8
c_ideal,A2,0.887806916,9
c_ideal,A2,0.87284445,10
c_ideal,A2,0.824780083,11
c_ideal,A2,0.835921132,12
c_ideal,A2,0.82612704,13
c_ideal,A2,0.844369391,14
c_ideal,A2,0.868109762,15
c_ideal,A2,0.845962772,16
c_ideal,A2,0.839433406,17
c_ideal,A2,0.871182268,18
c_ideal,A2,0.882018365,19
c_ideal,A2,0.806396673,20
c_ideal,A2,0.812837808,21
